Group,ID,Type,Tank,Origin,Fam,Trmt,T0,T7,T11,T14,T18,T21,T25,T28
H3-3-4,24,R,H3,inshore,19,heat,6.76599468,5.718276879,5.306649949,5.732815878,5.531489928,5.476607211,5.390298761,5.536468213
H3-3-4,25,R,H3,inshore,19,heat,6.588022012,5.981438785,5.946640111,5.932869553,5.937269884,5.900581427,5.777286977,5.95998496
H3-3-4,26,R,H3,inshore,19,heat,6.526039214,6.083431252,5.588436662,5.890489061,5.532559438,5.48507724,5.366622602,5.358482223
C1-1-2,20,R,C1,inshore,20,control,5.209037778,5.32341978,4.770887155,5.758860255,5.756980596,6.135423647,6.026896519,6.125587532
C1-1-2,21,R,C1,inshore,20,control,5.502379628,5.291956111,5.328766604,6.239477861,5.938560882,6.454246798,6.445522843,6.529480375
C1-1-2,22,R,C1,inshore,20,control,5.49463395,5.796653031,5.164692287,5.94067953,6.118820936,6.677886647,6.495341363,6.498211027
C1-1-2,23,R,C1,inshore,20,control,5.239335032,5.423120282,4.861675167,5.533287865,5.562648795,6.040717626,6.049304574,6.368542364
C1-1-2,26,A,C1,inshore,20,control,6.99239446,6.671736334,6.848905279,7.263459787,6.75986364,7.413125378,7.249060621,7.269521603
C1-3-4,29,R,C1,inshore,20,control,6.934770111,5.398740099,5.706342821,5.545117002,5.937798778,5.590163368,5.394511397,5.660112945
C1-3-4,30,R,C1,inshore,20,control,6.603975128,5.679451896,5.399745884,4.241352851,4.375701573,NA,NA,NA
C1-3-4,36,R,C1,inshore,20,control,6.445746241,6.035143546,5.744385885,5.560236865,6.122625677,6.188106369,5.811453359,5.148037523
C1-3-4,37,R,C1,inshore,20,control,6.631146874,5.682061873,5.485301695,5.440679841,5.651926545,5.719617139,5.086860844,4.391949117
C1-3-4,38,R,C1,inshore,20,control,6.38131732,5.368430875,5.84583124,5.335324237,5.615341091,6.015670708,5.173103868,5.879443132
C2-1-2,6,A,C2,inshore,20,control,7.630856981,6.824814322,6.330452829,6.758019152,6.607105918,6.760609631,6.213285068,5.775798859
C2-1-2,7,R,C2,inshore,20,control,5.88965253,5.731629128,5.055355646,5.707443929,5.587524527,5.736427465,5.369011728,5.333473812
C2-1-2,8,R,C2,inshore,20,control,5.508684122,5.47817276,5.246775987,5.879976224,5.935127938,5.806783267,5.436418944,5.322204968
C2-1-2,9,R,C2,inshore,20,control,5.674099634,5.625192162,5.204008626,5.892987761,5.91730035,5.930953093,5.699722921,5.469077863
C2-1-2,10,R,C2,inshore,20,control,5.475098613,5.159229578,5.014924744,5.685700512,5.674071247,5.760814163,4.987352002,4.753300107
C2-1-2,11,R,C2,inshore,20,control,5.271933815,4.697947011,4.941885,5.222634739,5.195110301,5.059066509,5.0385102,4.563447564
C2-1-2,12,R,C2,inshore,20,control,5.388003406,4.971326881,4.933825909,5.309539384,5.440965173,5.280534647,4.782264936,4.504045637
C2-1-2,13,R,C2,inshore,20,control,5.233289833,4.837812672,4.881407956,5.329798727,5.538429562,5.728973016,5.119650457,4.418876536
C2-1-2,16,R,C2,inshore,20,control,6.579359857,6.260972518,5.537885252,5.805841523,6.227279258,6.420213446,6.194322057,5.779623853
C2-1-2,17,R,C2,inshore,20,control,6.607542778,6.340165097,5.58332769,6.250339107,6.272020975,6.253695249,5.990947253,5.728639203
C2-1-2,29,R,C2,inshore,20,control,6.977370678,5.97507998,5.166175708,5.892352192,5.768108839,5.832103425,5.278678297,4.723126648
C2-1-2,30,R,C2,inshore,20,control,6.197358994,5.694035299,5.140550134,4.981739113,NA,NA,NA,NA
